Species ID,common_name
ACAD-1233,Northern Slate-Colored Junco
ACAD-1233,Slate-Colored Junco
ACAD-1234,Eastern Swamp Sparrow
ACAD-1234,Swamp Sparrow
ACAD-1235,Lincoln's Sparrow
ACAD-1235,Northern Lincoln's Sparrow
ACAD-1236,Eastern Song Sparrow
ACAD-1236,Song Sparrow
ACAD-1237,Eastern Savannah Sparrow
ACAD-1237,Savannah Sparrow
ACAD-1238,Eastern Fox Sparrow
ACAD-1238,Fox Sparrow
ACAD-1239,Green-Tailed Towhee
ACAD-1240,Eastern Towhee
ACAD-1240,Red-Eyed Towhee
ACAD-1240,Rufous-Sided Towhee
ACAD-1241,Spotted Towhee
ACAD-1242,Eastern Vesper Sparrow
ACAD-1242,Vesper Sparrow
ACAD-1243,American Tree Sparrow
ACAD-1243,Eastern Tree Sparrow
ACAD-1243,Tree Sparrow
ACAD-1244,Clay-Colored Sparrow
ACAD-1245,Chipping Sparrow
ACAD-1245,Eastern Chipping Sparrow
ACAD-1246,Eastern Field Sparrow
ACAD-1246,Field Sparrow
ACAD-1247,White-Throated Sparrow
ACAD-1248,Golden-Crowned Sparrow
ACAD-1249,Eastern White-Crowned Sparrow
ACAD-1249,White-Crowned Sparrow
ACAD-1250,Harris' Sparrow
ACAD-1250,Harris's Sparrow
ACAD-1251,Common Redpoll
ACAD-1251,Greater Redpoll
ACAD-1251,Mealy Redpoll
ACAD-1252,Coues' Hoary Redpoll
ACAD-1252,Hoary Redpoll
ACAD-1253,Northern Pine Siskin
ACAD-1253,Pine Siskin
ACAD-1254,American Goldfinch
ACAD-1254,Eastern American Goldfinch
ACAD-1254,Eastern Goldfinch
ACAD-1254,Goldfinch
ACAD-1255,House Finch
ACAD-1256,Eastern Purple Finch
ACAD-1256,Purple Finch
ACAD-1257,Eastern Evening Grosbeak
ACAD-1257,Evening Grosbeak
ACAD-1258,Red Crossbill
ACAD-1259,White-Winged Crossbill
ACAD-1260,Canadian Pine Grosbeak
ACAD-1260,Newfoundland Pine Grosbeak
ACAD-1260,Pine Grosbeak
ACAD-1261,Barn Swallow
ACAD-1262,Cliff Swallow
ACAD-1262,Eastern Cliff Swallow
ACAD-1262,Eave Swallow
ACAD-1262,Northern Cliff Swallow
ACAD-1263,Northern Purple Martin
ACAD-1263,Purple Martin
ACAD-1264,Bank Swallow
ACAD-1264,Common Bank Swallow
ACAD-1265,Northern Rough-Winged Swallow
ACAD-1265,Rough-Winged Swallow
ACAD-1266,Tree Swallow
ACAD-1267,Eastern Red-Wing
ACAD-1267,Eastern Red-Winged Blackbird
ACAD-1267,Red-Winged Blackbird
ACAD-1268,Bobolink
ACAD-1269,Rusty Blackbird
ACAD-1270,Brewer's Blackbird
ACAD-1271,Bullock's Oriole
ACAD-1272,Baltimore Oriole
ACAD-1272,Northern Oriole
ACAD-1273,Orchard Oriole
ACAD-1274,Brown-Headed Cowbird
ACAD-1274,Cowbird
ACAD-1274,Eastern Cowbird
ACAD-1275,Bronzed Grackle
ACAD-1275,Common Grackle
ACAD-1276,Eastern Meadowlark
ACAD-1277,Yellow-Headed Blackbird
ACAD-1278,Great Gray Shrike
ACAD-1278,Northern Shrike
ACAD-1279,Loggerhead Shrike
ACAD-1279,Migrant Loggerhead Shrike
ACAD-1279,Migrant Shrike
ACAD-1280,Catbird
ACAD-1280,Gray Catbird
ACAD-1281,Eastern Mockingbird
ACAD-1281,Mockingbird
ACAD-1281,Northern Mockingbird
ACAD-1282,Brown Thrasher
ACAD-1282,Eastern Brown Thrasher
ACAD-1283,American Pipit
ACAD-1283,American Water Pipit
ACAD-1283,Water Pipit
ACAD-1284,Greenland Wheatear
ACAD-1284,Northern Wheatear
ACAD-1285,Tufted Titmouse
ACAD-1286,Black-Capped Chickadee
ACAD-1287,Acadian Boreal Chickadee
ACAD-1288,Black-Throated Blue Warbler
ACAD-1288,Northern Black-Throated Blue Warbler
ACAD-1289,Bay-Breasted Warbler
ACAD-1290,Cerulean Warbler
ACAD-1291,Butter Butt
ACAD-1291,Eastern Myrtle Warbler
ACAD-1291,Myrtle Warbler
ACAD-1291,Yellow-Rumped Warbler
ACAD-1292,Northern Prairie Warbler
ACAD-1292,Prairie Warbler
ACAD-1293,Yellow-Throated Warbler
ACAD-1294,Blackburnian Warbler
ACAD-1295,Magnolia Warbler
ACAD-1296,Palm Warbler
ACAD-1296,Yellow Palm Warbler
ACAD-1297,Chestnut-Sided Warbler
ACAD-1298,Eastern Yellow Warbler
ACAD-1298,Yellow Warbler
ACAD-1299,Northern Pine Warbler
ACAD-1299,Pine Warbler
ACAD-1300,Blackpoll Warbler
ACAD-1300,Black-Poll Warbler
ACAD-1301,Cape May Warbler
