,ZipCode
1604,81052
1605,81073
1606,81082
1607,81101
1608,81130
1609,81133
1610,81137
1611,81147
1612,81149
1613,81201
1614,81211
1615,81230
1616,81240
1617,81321
1618,81401
1619,81416
1620,81424
1621,81435
1622,81506
1623,81611
1624,81625
1625,81637
1626,81639
1627,81641
1628,81650
1629,82005
1630,82009
1631,82050
1632,82052
1633,82070
1634,82082
1635,82083
1636,82084
1637,82190
1638,82201
1639,82213
1640,82240
1641,82301
1642,82325
1643,82327
1644,82331
1645,82332
1646,82336
1647,82401
1648,82414
1649,82426
1650,82442
1651,82443
1652,82501
1653,82513
1654,82520
1655,82601
1656,82604
1657,82633
1658,82637
1659,82639
1660,82701
1661,82716
1662,82718
1663,82730
1664,82801
1665,82834
1666,82901
1667,82922
1668,82930
1669,82933
1670,82935
1671,82941
1672,83001
1673,83101
1674,83110
1675,83113
1676,83114
1677,83204
1678,83226
1679,83252
1680,83276
1681,83278
1682,83301
1683,83318
1684,83333
1685,83338
1686,83342
1687,83402
1688,83422
1689,83440
1690,83446
1691,83467
1692,83501
1693,83530
1694,83539
1695,83605
1696,83638
1697,83648
1698,83687
1699,83705
1700,83805
1701,83835
1702,83864
1703,84022
1704,84032
1705,84056
1706,84067
1707,84071
1708,84078
1709,84084
1710,84116
1711,84302
1712,84321
1713,84501
1714,84511
1715,84525
1716,84540
1717,84601
1718,84624
1719,84721
1720,84726
1721,84734
1722,84751
1723,84770
1724,85024
1725,85034
1726,85122
1727,85128
1728,85212
1729,85215
1730,85260
1731,85286
1732,85307
1733,85309
1734,85326
1735,85337
1736,85338
1737,85365
1738,85541
1739,85546
1740,85607
1741,85613
1742,85621
1743,85706
1744,85707
1745,85735
1746,85901
1747,85936
1748,86005
1749,86021
1750,86023
1751,86040
1752,86046
1753,86047
1754,86301
1755,86336
1756,86401
1757,86429
1758,86505
1759,87002
1760,87013
1761,87020
1762,87035
1763,87106
1764,87120
1765,87301
1766,87401
1767,87507
1768,87520
1769,87529
1770,87544
1771,87701
1772,87710
1773,87740
1774,87801
1775,87942
1776,88007
1777,88008
1778,88030
1779,88043
1780,88045
1781,88103
1782,88130
1783,88135
1784,88203
1785,88210
1786,88220
1787,88240
1788,88310
1789,88318
1790,88324
1791,88330
1792,88401
1793,88415
1794,89005
1795,89008
1796,89018
1797,89020
1798,89032
1799,89049
1800,89052
1801,89119
1802,89191
1803,89301
1804,89310
1805,89316
1806,89406
1807,89419
1808,89445
1809,89502
1810,89506
1811,89706
1812,89801
1813,89820
1814,89823
1815,89835
1816,90007
1817,90045
1818,90250
1819,90405
1820,90505
1821,90720
1822,90807
1823,91331
1824,91381
1825,91406
1826,91505
1827,91710
1828,91731
1829,91750
1830,91761
1831,91906
1832,91932
1833,92008
1834,92020
1835,92055
1836,92058
1837,92065
1838,92101
1839,92123
1840,92135
1841,92145
1842,92154
1843,92223
1844,92225
1845,92243
1846,92251
1847,92262
1848,92274
1849,92278
1850,92310
1851,92314
1852,92327
1853,92363
1854,92394
1855,92408
1856,92504
1857,92518
1858,92563
1859,92626
1860,92833
1861,92880
1862,93010
1863,93030
1864,93117
1865,93230
1866,93243
1867,93245
1868,93257
1869,93277
1870,93308
1871,93401
1872,93436
1873,93437
1874,93446
1875,93452
1876,93455
1877,93460
1878,93501
1879,93514
1880,93524
1881,93527
1882,93536
1883,93546
1884,93550
1885,93555
1886,93561
1887,93591
1888,93637
1889,93727
1890,93905
1891,93940
1892,93943
1893,94019
1894,94035
1895,94070
1896,94128
1897,94303
1898,94520
1899,94535
1900,94545
1901,94551
1902,94558
1903,94621
1904,94945
1905,94954
1906,95019
1907,95023
1908,95046
1909,95110
1910,95122
1911,95215
1912,95301
1913,95310
1914,95341
1915,95354
1916,95482
1917,95492
1918,95503
1919,95519
1920,95531
1921,95540
1922,95589
1923,95602
1924,95616
1925,95648
1926,95652
1927,95655
1928,95667
1929,95688
1930,95701
1931,95822
1932,95837
1933,95903
1934,95945
1935,95961
1936,95965
1937,95973
1938,96002
1939,96064
1940,96067
1941,96080
1942,96091
1943,96093
1944,96101
1945,96107
1946,96150
1947,96161
1948,97002
1949,97014
1950,97056
1951,97060
1952,97124
1953,97128
1954,97141
1955,97146
1956,97218
1957,97302
1958,97333
1959,97366
1960,97402
1961,97415
1962,97459
1963,97470
1964,97497
1965,97504
1966,97603
1967,97630
1968,97701
1969,97720
1970,97756
1971,97801
1972,97814
1973,97838
1974,97845
1975,97850
1976,97859
1977,97910
1978,97914
1979,98022
1980,98057
1981,98108
1982,98148
1983,98223
1984,98226
1985,98233
1986,98245
1987,98250
1988,98275
1989,98277
1990,98278
1991,98312
1992,98331
1993,98335
1994,98363
1995,98375
1996,98433
1997,98438
1998,98501
1999,98532
2000,98550
2001,98584
2002,98591
2003,98617
2004,98626
2005,98661
2006,98802
2007,98823
2008,98837
2009,98849
2010,98901
2011,98903
2012,98926
2013,99006
2014,99011
2015,99114
2016,99163
2017,99212
2018,99224
2019,99301
2020,99362
