common_name,Species ID
Passenger Pigeon,ACAD-1180
Eastern Mourning Dove,ACAD-1181
Mourning Dove,ACAD-1181
Belted Kingfisher,ACAD-1182
Eastern Belted Kingfisher,ACAD-1182
Eastern YellowBilled Cuckoo,ACAD-1183
YellowBilled Cuckoo,ACAD-1183
BlackBilled Cuckoo,ACAD-1184
Eastern Pigeon Hawk,ACAD-1185
Merlin,ACAD-1185
Pigeon Hawk,ACAD-1185
American Peregrine Falcon,ACAD-1186
Duck Hawk,ACAD-1186
Peregrine Falcon,ACAD-1186
American Gyrfalcon,ACAD-1187
Gyrfalcon,ACAD-1187
White Gyrfalcon,ACAD-1187
American Kestrel,ACAD-1188
Eastern Sparrow Hawk,ACAD-1188
Northern Sparrow Hawk,ACAD-1188
Sparrow Hawk,ACAD-1188
BobWhite,ACAD-1189
Northern Bobwhite,ACAD-1189
Canada Ruffed Grouse,ACAD-1190
Partridge,ACAD-1190
Ruffed Grouse,ACAD-1190
Timber Grouse,ACAD-1190
Canada Grouse,ACAD-1191
Canada Spruce Grouse,ACAD-1191
Haith Hen,ACAD-1191
Heath Hen,ACAD-1191
Spruce Grouse,ACAD-1191
Spruce Partridge,ACAD-1191
Eastern Turkey,ACAD-1192
Wild Turkey,ACAD-1192
Common Partridge,ACAD-1193
European Gray Partridge,ACAD-1193
European Partridge,ACAD-1193
Gray Partridge,ACAD-1193
Pheasant,ACAD-1194
RingNecked Pheasant,ACAD-1194
Common Loon,ACAD-1196
Greater Common Loon,ACAD-1196
Pacific Loon,ACAD-1197
RedThroated Loon,ACAD-1198
Sandhill Crane,ACAD-1199
American Coot,ACAD-1200
Northern American Coot,ACAD-1200
Common Gallinule,ACAD-1201
Common Moorhen,ACAD-1201
Florida Gallinule,ACAD-1201
Purple Gallinule,ACAD-1202
Sora Rail,ACAD-1203
Sora,ACAD-1203
King Rail,ACAD-1204
Northern King Rail,ACAD-1204
Northern Virginia Rail,ACAD-1205
Virginia Rail,ACAD-1205
Clapper Rail,ACAD-1206
Northern Clapper Rail,ACAD-1206
Horned Lark,ACAD-1207
Northern Horned Lark,ACAD-1207
Cedar Waxwing,ACAD-1208
Bohemian Waxwing,ACAD-1209
Greater Waxwing,ACAD-1209
Common Lapland Longspur,ACAD-1210
Lapland Longspur,ACAD-1210
Eastern Snow Bunting,ACAD-1211
Snow Bunting,ACAD-1211
Snowflake,ACAD-1211
Eastern Cardinal,ACAD-1212
Northern Cardinal,ACAD-1212
Blue Grosbeak,ACAD-1213
Eastern Blue Grosbeak,ACAD-1213
Lazuli Bunting,ACAD-1214
Painted Bunting,ACAD-1215
Indigo Bunting,ACAD-1216
RoseBreasted Grosbeak,ACAD-1217
Western Tanager,ACAD-1218
Scarlet Tanager,ACAD-1219
Eastern Summer Tanager,ACAD-1220
Summer Tanager,ACAD-1220
Dickcissel,ACAD-1221
Brown Creeper,ACAD-1222
Eastern Brown Creeper,ACAD-1222
American Crow,ACAD-1223
